letter,name,pronunciation,letter sound,speciality,note - 1,doubts,IPA
A / a,á,,half of आ / ā,,,,a
Á / á,á s čárkou,,आ / ā => आयतन / āyatana,,,,aː
B / b,bé,,ब / b => बहु / bahu,,,,b
C / c,cé,,ts in bits / cats,,,,ts
Č / č,čé,,च / ca => चम्मच / cammaca,,,,tʃ
D / d,dé,,द / da => दुक्ख / dukkha,,,,d
Ď / ď,ďé,,du as in duke / duel,,,,ɟ
E / e,é,,ए / e => मेत्ता / mettā (pāli short e),,,,ɛ
É / é,é s čárkou,,ए / e => देव / deva (pāli long e),,,,ɛː
Ě / ě,é s háčkem,,ye in yes,,,,-
F / f,ef,,फ़ / f => ख़िलाफ़ / k͟hilāf,,,,f
G / g,gé,,ग / ga => गज / gaja,,,,ɡ
H / h,há,,ह / ha => हल / hala,,,,ɦ
CH / ch,chá,,ख़ / k͟ha => ख़राब / k͟harāb,,,,x
I / I,í,,इ / i => इच्छा / icchā,"soft-i, follows soft consonants",,,ɪ
Í / í,í s čárkou,,ई / ī => बीज / bīja,"soft-í, follows soft consonants",,,iː
J / j,jé,,य / ya => यान / yāna,,,,j
K / k,ká,,क / ka => कम्म / kamma,,,,k
L / l,el,,ल / la => लड्डू / laḍḍū,,,,l / l̩
M / m,em,,म / ma => मार / māra,,,,m / m̩
N / n,en,,न / na => नथ / natha,,,,n / ŋ
Ň / ň,eň,,ञ / ñ => ञाण / ñāṇa,,,,ɲ
O / o,ó,,ओ / o => potthaka / पोत्थक (pāli short o),,,,o
Ó / ó,ó s čárkou,,ओ / o => लोक / loka (pāli long o),,,,oː
P / p,pé,,प / pa => पल / pala,,,,p
Q / q,kvé,,?,in loan words || replaced with kv when naturalized,,,-
R / r,er,,र / ra => राग / rāga,,,,r / r̩
Ř / ř,eř,,rs in persian,r & ž / r & š (simultaneous),,,r̝ = [r] & [ʒ] / r̝̊ = [r̥] & [ʃ] (simultaneous)
S / s,es,,स / sa => सब / saba,,,,s
Š / š,eš,,श / sh => शादी / shādi,,,,ʃ
T / t,té,,त / ta => तथागत / tathāgata,,,,t
Ť / ť,ťé,,t in tune / stew,,,,c
U / u,ú,,u in full / push,,,,u
Ú / ú,ú s čárkou,,ऊ / ū => ऊन / ūna (ball of yarn),,,,uː
Ů / ů,ů s kroužkem,,ऊ / ū => ऊन / ūna (ball of yarn),,,,uː
V / v,vé,,v in vodka / wave,,,,v
W / w,dvojité vé,,?,in loan words || replaced with v when naturalized,,,-
X / x,iks,,?,in loan words,,,-
Y / y,"ypsilon,",,इ / i => इच्छा / icchā,hard-i || follows hard consonants,,,ɪ
Ý / ý,ypsilon s čárkou,,ई / ī => बीज / bīja,hard-í || follows hard consonants,,,iː
Z / z,zet,,z in zip (actual pronunciation),,,,z
Ž / ž,žet,,su in pleasure / measure / treasure,,,,ʒ
AU / au,aa-u,,ou in ouch,in loan words,dipthong,,au
OU / ou,oo-u,,ow in know,,dipthong,,ɛu
EU / eu,ye-u,,yeurro for euro,in loan words,dipthong,,ou
